# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
5.962324649298598178e-01,1.019336299579611138e+00,-2.136433149744532134e-02
6.002204408817636283e-01,1.019822805395200094e+00,-2.165339345264769705e-02
6.042084168336674388e-01,1.020318553884609125e+00,-2.194320796587540326e-02
6.081963927855711383e-01,1.020823917349426235e+00,-2.223419498006290809e-02
6.121843687374749488e-01,1.021339026374041392e+00,-2.252631074491664651e-02
6.161723446893787592e-01,1.021864012447113446e+00,-2.281951036408149877e-02
6.201603206412825697e-01,1.022399007955237638e+00,-2.311374778320191350e-02
6.241482965931863802e-01,1.022944146176427926e+00,-2.340897577818003630e-02
6.281362725450901907e-01,1.023499561273286895e+00,-2.370514594364152641e-02
6.321242484969940012e-01,1.024065388285842815e+00,-2.400220868162153062e-02
6.361122244488978117e-01,1.024641763124066740e+00,-2.430011319048361318e-02
6.401002004008016222e-01,1.025228822560110276e+00,-2.459880745409814481e-02
6.440881763527054327e-01,1.025826704220223151e+00,-2.489823823128794328e-02
6.480761523046092432e-01,1.026435546576342173e+00,-2.519835104555897751e-02
6.520641282565130536e-01,1.027055488937403505e+00,-2.549909017513598067e-02
6.560521042084168641e-01,1.027686671440334987e+00,-2.580039864331949706e-02
6.600400801603206746e-01,1.028329235040778222e+00,-2.610221820918633834e-02
6.640280561122244851e-01,1.028983321503527337e+00,-2.640448935864959240e-02
6.680160320641282956e-01,1.029649073392612468e+00,-2.670715129588577263e-02
6.720040080160321061e-01,1.030326634061239366e+00,-2.701014193517905018e-02
6.759919839679359166e-01,1.031016147641364400e+00,-2.731339789316634264e-02
6.799799599198397271e-01,1.031717759033047521e+00,-2.761685448152821978e-02
6.839679358717435376e-01,1.032431613893601163e+00,-2.792044570013878582e-02
6.879559118236473481e-01,1.033157858626476466e+00,-2.822410423069045271e-02
6.919438877755511585e-01,1.033896640369969422e+00,-2.852776143082393773e-02
6.959318637274549690e-01,1.034648106985701199e+00,-2.883134732877025430e-02
6.999198396793587795e-01,1.035412407046961913e+00,-2.913479061854389041e-02
7.039078156312625900e-01,1.036189689826882532e+00,-2.943801865569187909e-02
7.078957915831664005e-01,1.036980105286491982e+00,-2.974095745363112761e-02
7.118837675350702110e-01,1.037783804062652582e+00,-3.004353168058593662e-02
7.158717434869740215e-01,1.038600937455916196e+00,-3.034566465715158451e-02
7.198597194388778320e-01,1.039431657418339094e+00,-3.064727835450564361e-02
7.238476953907816425e-01,1.040276116541269058e+00,-3.094829339328199896e-02
7.278356713426854530e-01,1.041134468043116046e+00,-3.124862904312749809e-02
7.318236472945892634e-01,1.042006865757202139e+00,-3.154820322296707225e-02
7.358116232464930739e-01,1.042893464119652558e+00,-3.184693250198720321e-02
7.397995991983968844e-01,1.043794418157419246e+00,-3.214473210135964515e-02
7.437875751503006949e-01,1.044709883476453660e+00,-3.244151589672202018e-02
7.477755511022045054e-01,1.045640016250064974e+00,-3.273719642142940145e-02
7.517635270541083159e-01,1.046584973207529634e+00,-3.303168487059433833e-02
7.557515030060121264e-01,1.047544911622965369e+00,-3.332489110592271736e-02
7.597394789579159369e-01,1.048519989304564914e+00,-3.361672366136881501e-02
7.637274549098197474e-01,1.049510364584181676e+00,-3.390708974960499750e-02
7.677154308617235579e-01,1.050516196307381467e+00,-3.419589526933076995e-02
7.717034068136273683e-01,1.051537643823962087e+00,-3.448304481341626926e-02
7.756913827655311788e-01,1.052574866979039125e+00,-3.476844167789298889e-02
7.796793587174348783e-01,1.053628026104727056e+00,-3.505198787179072961e-02
7.836673346693386888e-01,1.054697282012497350e+00,-3.533358412782285768e-02
7.876553106212424993e-01,1.055782795986287548e+00,-3.561312991392415195e-02
7.916432865731463098e-01,1.056884729776383924e+00,-3.589052344562615460e-02
7.956312625250501203e-01,1.058003245594191677e+00,-3.616566169927163538e-02
7.996192384769539307e-01,1.059138506107962563e+00,-3.643844042606130679e-02
8.036072144288577412e-01,1.060290674439514413e+00,-3.670875416690892040e-02
8.075951903807615517e-01,1.061459914162069085e+00,-3.697649626810074752e-02
8.115831663326653622e-01,1.062646389299226835e+00,-3.724155889772930161e-02
8.155711422845691727e-01,1.063850264325237660e+00,-3.750383306289172686e-02
8.195591182364729832e-01,1.065071704166570488e+00,-3.776320862761023411e-02
8.235470941883767937e-01,1.066310874204916770e+00,-3.801957433145598114e-02
8.275350701402806042e-01,1.067567940281694883e+00,-3.827281780883482615e-02
8.315230460921844147e-01,1.068843068704148358e+00,-3.852282560889712382e-02
8.355110220440882252e-01,1.070136426253118556e+00,-3.876948321602654429e-02
