# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
5.084969939879759870e-01,1.391047417232926575e+00,-4.593146411833712306e-03
5.124849699398797975e-01,1.399246277569111241e+00,-4.494455851006801117e-03
5.164729458917836080e-01,1.407639733189284481e+00,-4.380080255583809062e-03
5.204609218436874185e-01,1.416240494167779973e+00,-4.247234813850072309e-03
5.244488977955912290e-01,1.425063791784767053e+00,-4.092088129107787631e-03
5.284368737474950395e-01,1.434128383214821056e+00,-3.909084185435306169e-03
5.324248496993988500e-01,1.443458190239574890e+00,-3.689541872402880580e-03
5.364128256513026605e-01,1.453084859026914977e+00,-3.418682817929693737e-03
5.404008016032064710e-01,1.463052281681996636e+00,-3.067098991217303856e-03
5.443887775551102814e-01,1.473416392953830645e+00,-2.565397433549585632e-03
5.483767535070140919e-01,1.484182572605078576e+00,-1.757740078078119965e-03
5.523647294589179024e-01,1.495187093670526046e+00,-5.327516135605442045e-04
