# r (bohr), g(r)
746.539200,0.878627
747.027000,0.877125
747.514800,0.872413
748.002600,0.866755
748.489500,0.866232
748.976400,0.860999
749.462400,0.857812
749.949300,0.851502
750.434400,0.850256
750.920400,0.844339
751.405500,0.842399
751.890600,0.839302
752.374800,0.833192
752.859900,0.832627
753.343200,0.827353
753.827400,0.822427
754.310700,0.816528
754.794000,0.817581
755.276400,0.810308
755.758800,0.808185
756.241200,0.804301
756.722700,0.799300
757.204200,0.795494
757.685700,0.791968
758.166300,0.789646
758.646900,0.784949
759.127500,0.781105
759.607200,0.778785
760.086900,0.774317
760.566600,0.770388
761.045400,0.771507
761.524200,0.761645
762.003000,0.758460
762.480900,0.756823
762.958800,0.750534
763.436700,0.749755
763.913700,0.747665
764.390700,0.740948
764.867700,0.738242
765.343800,0.734229
765.819900,0.730336
766.296000,0.727502
766.771200,0.724119
767.246400,0.718464
767.721600,0.716753
768.195900,0.713256
768.670200,0.708702
769.144500,0.704520
769.618800,0.700288
770.092200,0.696638
770.564700,0.694917
771.038100,0.692362
771.510600,0.686940
771.983100,0.684146
772.454700,0.681009
772.926300,0.678266
773.397900,0.674731
773.869500,0.672887
774.340200,0.664637
774.810900,0.665575
775.280700,0.658426
775.750500,0.655854
776.220300,0.653152
776.690100,0.650651
777.159000,0.647141
777.627900,0.642973
778.096800,0.638335
778.564800,0.636947
779.032800,0.633252
779.500800,0.628918
779.967900,0.625535
780.435000,0.622828
780.902100,0.619529
781.369200,0.615991
781.835400,0.613567
782.301600,0.609572
782.766900,0.605119
783.233100,0.602455
783.697500,0.598852
784.162800,0.594693
784.627200,0.591041
785.091600,0.589286
785.556000,0.585360
786.020400,0.581612
786.483900,0.581217
786.946500,0.576476
787.410000,0.573635
787.872600,0.569985
788.335200,0.565733
788.797800,0.562068
789.259500,0.559685
789.721200,0.555598
790.182900,0.554375
790.643700,0.551255
791.104500,0.545621
791.565300,0.543782
792.025200,0.538229
792.486000,0.536891
792.945000,0.534493
793.404900,0.532316
793.863900,0.528034
794.322900,0.526214
794.781900,0.522997
795.240900,0.517732
795.699000,0.515226
796.157100,0.511392
796.614300,0.510979
797.071500,0.505024
797.528700,0.501884
797.985900,0.499799
798.442200,0.495506
798.898500,0.493573
799.354800,0.490567
799.811100,0.487864
800.266500,0.484025
800.721900,0.479360
801.177300,0.476505
801.631800,0.475660
802.086300,0.471474
802.540800,0.468200
802.994400,0.464023
803.448900,0.462511
803.901600,0.459196
804.355200,0.456634
