# q/(2k_F),k_F critical
1.198688688688688719e+00,6.238176028431922232e-02
1.201191191191191221e+00,6.232005755666477492e-02
1.203693693693693723e+00,6.225726182884767923e-02
1.206196196196196224e+00,6.219339470755144705e-02
1.208698698698698726e+00,6.212847928957573873e-02
1.211201201201201227e+00,6.206253718160402444e-02
1.213703703703703729e+00,6.199558924526178683e-02
1.216206206206206231e+00,6.192765634217448079e-02
1.218708708708708732e+00,6.185876082408368198e-02
1.221211211211211234e+00,6.178892131744068150e-02
1.223713713713713735e+00,6.171815868387096893e-02
1.226216216216216237e+00,6.164649229488387838e-02
1.228718718718718739e+00,6.157394301210487864e-02
1.231221221221221240e+00,6.150052946198528853e-02
1.233723723723723742e+00,6.142626952591836303e-02
1.236226226226226244e+00,6.135118332047147238e-02
1.238728728728728745e+00,6.127528798197987014e-02
1.241231231231231247e+00,6.119860288195288350e-02
1.243733733733733748e+00,6.112114441166766748e-02
1.246236236236236250e+00,6.104293194263358396e-02
1.248738738738738752e+00,6.096398037601168107e-02
1.251241241241241253e+00,6.088430908331131375e-02
1.253743743743743755e+00,6.080393296569350930e-02
1.256246246246246256e+00,6.072286915949350050e-02
1.258748748748748758e+00,6.064113331093036463e-02
1.261251251251251260e+00,6.055874181128126366e-02
1.263753753753753761e+00,6.047571030676527487e-02
1.266256256256256263e+00,6.039205444360150332e-02
1.268758758758758765e+00,6.030778837789296798e-02
1.271261261261261266e+00,6.022292775585872532e-02
1.273763763763763768e+00,6.013748747865984429e-02
1.276266266266266269e+00,6.005148095734126612e-02
1.278768768768768771e+00,5.996492383812206117e-02
1.281271271271271273e+00,5.987782878698914846e-02
1.283773773773773774e+00,5.979020921498746921e-02
1.286276276276276276e+00,5.970208002327805075e-02
1.288778778778778777e+00,5.961345313278972047e-02
1.291281281281281279e+00,5.952434195456744737e-02
1.293783783783783781e+00,5.943475989965615186e-02
1.296286286286286282e+00,5.934471888898468217e-02
1.298788788788788784e+00,5.925423158853992261e-02
1.301291291291291286e+00,5.916330991925070060e-02
1.303793793793793787e+00,5.907196654710389350e-02
1.306296296296296289e+00,5.898021190291227733e-02
1.308798798798798790e+00,5.888805939772074477e-02
1.311301301301301292e+00,5.879551871728399409e-02
1.313803803803803794e+00,5.870260103747282354e-02
1.316306306306306295e+00,5.860931902427410356e-02
1.318808808808808797e+00,5.851568236344250468e-02
1.321311311311311298e+00,5.842170074073272518e-02
1.323813813813813800e+00,5.832738682213164938e-02
1.326316316316316302e+00,5.823274880327783398e-02
1.328818818818818803e+00,5.813779786004208416e-02
1.331321321321321305e+00,5.804254367817908433e-02
1.333823823823823806e+00,5.794699519838542728e-02
1.336326326326326308e+00,5.785116359653194595e-02
1.338828828828828810e+00,5.775505706825716234e-02
1.341331331331331311e+00,5.765868455425772476e-02
1.343833833833833813e+00,5.756205648534638841e-02
1.346336336336336315e+00,5.746518105716170305e-02
1.348838838838838816e+00,5.736806646534223231e-02
1.351341341341341318e+00,5.727072239564269529e-02
1.353843843843843819e+00,5.717315629864358484e-02
1.356346346346346321e+00,5.707537711504151456e-02
1.358848848848848823e+00,5.697739304047509667e-02
1.361351351351351324e+00,5.687921152552483095e-02
1.363853853853853826e+00,5.678084151088733100e-02
1.366356356356356327e+00,5.668228895702706605e-02
1.368858858858858829e+00,5.658356354969865110e-02
1.371361361361361331e+00,5.648467124936654149e-02
1.373863863863863832e+00,5.638561950661125782e-02
1.376366366366366334e+00,5.628641651707137067e-02
1.378868868868868836e+00,5.618706898626934371e-02
1.381371371371371337e+00,5.608758361972765449e-02
1.383873873873873839e+00,5.598796712296877365e-02
1.386376376376376340e+00,5.588822620151515791e-02
1.388878878878878842e+00,5.578836830594735563e-02
1.391381381381381344e+00,5.568839865167168890e-02
1.393883883883883845e+00,5.558832468926874076e-02
1.396386386386386347e+00,5.548815163414483331e-02
1.398888888888888848e+00,5.538788619182243023e-02
1.401391391391391350e+00,5.528753506782403682e-02
1.403893893893893852e+00,5.518710273249795989e-02
1.406396396396396353e+00,5.508659589136663537e-02
1.408898898898898855e+00,5.498601975983646861e-02
1.411401401401401356e+00,5.488538029837185250e-02
1.413903903903903858e+00,5.478468346743721462e-02
1.416406406406406360e+00,5.468393373738086177e-02
1.418908908908908861e+00,5.458313706866722154e-02
1.421411411411411363e+00,5.448229793164460766e-02
1.423913913913913865e+00,5.438142228677744772e-02
1.426416416416416366e+00,5.428051460441402770e-02
1.428918918918918868e+00,5.417958009996071828e-02
1.431421421421421369e+00,5.407862324376584706e-02
1.433923923923923871e+00,5.397764925123577778e-02
1.436426426426426373e+00,5.387666184766076033e-02
1.438928928928928874e+00,5.377566699350524310e-02
1.441431431431431376e+00,5.367466841405944822e-02
