# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
4.646292585170341272e-01,9.667670862457237169e-01,-8.602769100879941247e-03
4.686172344689379377e-01,9.661846769728381634e-01,-8.741077444807867497e-03
4.726052104208417481e-01,9.655970003437591709e-01,-8.880228233259178025e-03
4.765931863727455586e-01,9.650040507746640017e-01,-9.020213015169793389e-03
4.805811623246493136e-01,9.644058227134758576e-01,-9.161023278628572380e-03
4.845691382765531241e-01,9.638023106340479762e-01,-9.302650450751303451e-03
4.885571142284569346e-01,9.631935090487289131e-01,-9.445085898633643826e-03
4.925450901803607451e-01,9.625794125042438365e-01,-9.588320929307982132e-03
4.965330661322645556e-01,9.619600155824777898e-01,-9.732346790017559410e-03
5.005210420841683661e-01,9.613353129107288231e-01,-9.877154669071217669e-03
5.045090180360721765e-01,9.607052991528074459e-01,-1.002273569549492517e-02
5.084969939879759870e-01,9.600699690210647841e-01,-1.016908093999330936e-02
5.124849699398797975e-01,9.594293172709202899e-01,-1.031618141485547181e-02
5.164729458917836080e-01,9.587833387091658777e-01,-1.046402807467493659e-02
5.204609218436874185e-01,9.581320281913768833e-01,-1.061261181638694859e-02
5.244488977955912290e-01,9.574753806263693878e-01,-1.076192347984158970e-02
5.284368737474950395e-01,9.568133909789331426e-01,-1.091195384814328505e-02
5.324248496993988500e-01,9.561460542720843225e-01,-1.106269364801070951e-02
5.364128256513026605e-01,9.554733655869229736e-01,-1.121413355006621940e-02
5.404008016032064710e-01,9.547953200678332975e-01,-1.136626416929849455e-02
5.443887775551102814e-01,9.541119129252699782e-01,-1.151907606554306365e-02
5.483767535070140919e-01,9.534231394340397792e-01,-1.167255974355695634e-02
5.523647294589179024e-01,9.527289949400800095e-01,-1.182670565369756469e-02
5.563527054108217129e-01,9.520294748611679569e-01,-1.198150419220914142e-02
5.603406813627255234e-01,9.513245746905559797e-01,-1.213694570165204344e-02
5.643286573146293339e-01,9.506142899971201654e-01,-1.229302047116815656e-02
5.683166332665331444e-01,9.498986164298900414e-01,-1.244971873697361259e-02
5.723046092184369549e-01,9.491775497198888800e-01,-1.260703068272754288e-02
5.762925851703407654e-01,9.484510856844337034e-01,-1.276494644003312723e-02
